fold,train,test,combo,scheme,train_score,test_sharpe,test_stag_sharpe,test_both_down_ann,test_maxdd,weights
1,1985-02-28..1994-12-31,1995-02-28..1998-12-31,"US Equity,International Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,65.28571428571429,0.8521008830317537,,-0.35380191973011005,-0.15331841557522652,"{'US Equity': 0.2, 'International Equity': 0.1449939978374098, 'US Corporate Bonds': 0.2000000000003829, 'US Municipal Bonds': 0.2000000000003829, 'Gold/Precious Metals': 0.11890877908630033, 'World Equity': 0.13609722307552408}"
2,1985-02-28..1998-12-31,1999-02-28..2002-12-31,"US Equity,International Equity,World Equity,US Corporate Bonds,US Municipal Bonds",InvVar,71.28571428571429,0.3659494023568229,,-0.2092384088849762,-0.12591515141542153,"{'US Equity': 0.20000000000000004, 'International Equity': 0.20000000000000004, 'US Corporate Bonds': 0.20000000000072293, 'US Municipal Bonds': 0.20000000000072293, 'World Equity': 0.19999999999855406}"
3,1985-02-28..2002-12-31,2003-02-28..2006-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,74.28571428571429,1.5318324580406155,,-0.44849581160762375,-0.07760389914640764,"{'US Equity': 0.2, 'US Corporate Bonds': 0.2000000000005875, 'US Municipal Bonds': 0.2000000000005875, 'Gold/Precious Metals': 0.1999999999982375, 'World Equity': 0.2000000000005875}"
4,1985-02-28..2006-12-31,2007-02-28..2010-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,70.71428571428571,0.5646887470549039,,-0.5043395589948592,-0.3195329682728809,"{'US Equity': 0.19999999999999996, 'US Corporate Bonds': 0.20000000000063348, 'US Municipal Bonds': 0.20000000000063348, 'Gold/Precious Metals': 0.19999999999809956, 'World Equity': 0.20000000000063348}"
5,1985-02-28..2010-12-31,2011-02-28..2014-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",ERC,68.57142857142857,0.08975047756378315,,-0.3166349996008053,-0.13044393502830798,"{'US Equity': 0.2, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'Gold/Precious Metals': 0.19999999999999996, 'World Equity': 0.2}"
6,1985-02-28..2014-12-31,2015-02-28..2018-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,72.42857142857142,0.33537964833302236,,-0.3069429423794672,-0.12062367872449753,"{'US Equity': 0.2, 'US Corporate Bonds': 0.2000000000007227, 'US Municipal Bonds': 0.2000000000007227, 'Gold/Precious Metals': 0.1999999999985545, 'World Equity': 0.2}"
7,1985-02-28..2018-12-31,2019-02-28..2022-12-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,71.14285714285715,0.4894183211784529,-0.8602849834142742,-0.4935316083844023,-0.2140596988010569,"{'US Equity': 0.20000000000081458, 'US Corporate Bonds': 0.20000000000000004, 'US Municipal Bonds': 0.20000000000000004, 'Gold/Precious Metals': 0.19999999999837073, 'World Equity': 0.20000000000081458}"
8,1985-02-28..2022-12-31,2023-02-28..2026-07-31,"US Equity,World Equity,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVar,68.42857142857143,1.3213339997816314,,-0.29711436531625596,-0.08104575156425142,"{'US Equity': 0.20000000000000004, 'US Corporate Bonds': 0.20000000000097784, 'US Municipal Bonds': 0.20000000000097784, 'Gold/Precious Metals': 0.19999999999804424, 'World Equity': 0.20000000000000004}"
