metric,value
train_score_mean,50.00080678994417
train_score_std,11.517841071205819
winner_train_score,75.81864975634943
winner_train_score_z,2.2415522845638947
winner_train_sharpe,0.29951692886722237
winner_test_sharpe,0.22653942253552511
winner_sharpe_degradation,-0.07297750633169725
winner_train_both_down_ann,0.04000028493300267
winner_test_both_down_ann,-0.07482411429646635
winner_both_down_degradation,-0.11482439922946902
top10_train_in_top20_test,0.3
spearman_train_test_score,0.09570687679110616
winner_test_sharpe_vs_aw,-0.5474785722767943
winner_test_both_down_ann_vs_aw,0.21783879327635758
dsr_prob,5.289431667215849e-05
deflated_sr_ann,-1.3349985144607892
sr0_ann,1.5615379369963145
n_trials,61974.0
effective_n_trials,1.6738018937335608
n_trials_nominal,61974.0
oos_sharpe,0.22653942253552511
oos_sharpe_ci95_lo,-0.4479138981476011
oos_sharpe_ci95_hi,1.0639131597707068
oos_both_down_ann,-0.07482411429646635
oos_both_down_ann_ci95_lo,-0.19529057231343402
oos_both_down_ann_ci95_hi,0.0805420280494679
