portfolio,window,n,cagr,vol,maxdd,sharpe,sortino,pv_cagr,pv_maxdd,passed
80/20 VTI-GLD,1986-01..2026-06,486,10.810734437035642,12.732812701006036,-40.528098334694164,0.8739562732162425,1.3567432024742794,10.61,-39.62,True
60/20/20,1986-01..2026-06,486,9.77329177213717,12.472055495185607,-42.11230064716918,0.8136405098034883,1.2424859791565284,9.98,-41.41,True
S&P 500,1986-01..2026-06,486,11.204966861285047,15.272908043280523,-50.78480360257031,0.7757964313994592,1.1809175223726347,11.42,-50.97,True
