Date,Technology,Communication Srv,Consumer Discretionary,Consumer Staples,Healthcare,Financials,Industrials,Energy,Materials,Utilities,Real Estate
1962-02-28,-0.009089742221027097,,,,,,-0.012514986678066942,,,,
1962-03-31,-0.007913998451578474,,,,,,-0.028833398400433197,,,,
1962-04-30,-0.14781853996988648,,,,,,-0.08521926758733994,,,,
1962-05-31,-0.1353254141412461,,,,,,-0.03800412881355952,,,,
1962-06-30,-0.135669592896554,,,,,,-0.0798347112693581,,,,
1962-07-31,0.14075223351007815,,,,,,0.03365661353169713,,,,
1962-08-31,0.024103819043566066,,,,,,0.03755322797691474,,,,
1962-09-30,-0.10788737414641714,,,,,,-0.04178690420591624,,,,
1962-10-31,-0.021215077303508467,,,,,,0.04207719300145929,,,,
1962-11-30,0.1519762079132576,,,,,,0.12381553057728611,,,,
1962-12-31,-0.021330383946911002,,,,,,0.029776528217305143,,,,
1963-01-31,0.08653838014074267,,,,,,0.02248427514419138,,,,
1963-02-28,-0.056412573772270824,,,,,,-0.052354983430019764,,,,
1963-03-31,0.053158792941319755,,,,,,0.036502504759872156,,,,
1963-04-30,0.10154240435966222,,,,,,0.08303870404710112,,,,
1963-05-31,0.02933561118246053,,,,,,0.03404415279261197,,,,
1963-06-30,-0.08590821872816035,,,,,,-0.039353432740441396,,,,
1963-07-31,-0.004011527766175971,,,,,,0.006060567161399355,,,,
1963-08-31,0.023824122037486406,,,,,,0.029884561910790475,,,,
1963-09-30,0.016301217565506843,,,,,,-0.008803254453744302,,,,
1963-10-31,0.09291987413702785,,,,,,0.06371799672763534,,,,
1963-11-30,-0.017460460724816107,,,,,,0.00026724425617408176,,,,
1963-12-31,0.04482193373862686,,,,,,0.03733690547404278,,,,
1964-01-31,0.0690333270971597,,,,,,-0.0025449794345197008,,,,
1964-02-29,0.050058039112589325,,,,,,-0.009767334774881009,,,,
1964-03-31,0.044376131411608455,,,,,,0.035913154251029034,,,,
1964-04-30,-0.04038669527635019,,,,,,-0.04678380365192003,,,,
