Date,INDEX,ETF,YIELD,MUTUALFUND,STOCK,MONEYMARKET,Technology,Communication Srv,Consumer Discretionary,Consumer Staples,Healthcare,Financials,Industrials,Energy,Materials,Utilities,Real Estate
1962-02-28,,,,,,,-0.009091218620030705,,,,,,-0.012515469664458212,,,,
1962-03-31,,,,,,,-0.007913567403600164,,,,,,-0.02883256850733018,,,,
1962-04-30,,,,,,,-0.1478173029302965,,,,,,-0.08522011944017427,,,,
1962-05-31,,,,,,,-0.1353264969724084,,,,,,-0.03800413801089825,,,,
1962-06-30,,,,,,,-0.13566904891648324,,,,,,-0.07983517592922779,,,,
1962-07-31,,,,,,,0.14075185644231358,,,,,,0.03365679294376278,,,,
1962-08-31,,,,,,,0.024103821982325302,,,,,,0.03755431540620324,,,,
1962-09-30,,,,,,,-0.10788655363142197,,,,,,-0.041786981644614474,,,,
1962-10-31,,,,,,,-0.021216261354308652,,,,,,0.04207716745655976,,,,
1962-11-30,,,,,,,0.1519753156862742,,,,,,0.1238150655738266,,,,
1962-12-31,,,,,,,-0.021328811408883985,,,,,,0.029776958500220774,,,,
1963-01-31,,,,,,,0.08653755744275293,,,,,,0.022483571835597793,,,,
1963-02-28,,,,,,,-0.05641214740112277,,,,,,-0.05235481305216294,,,,
1963-03-31,,,,,,,0.05315737119817299,,,,,,0.036502759195344625,,,,
1963-04-30,,,,,,,0.10154398549256438,,,,,,0.08303902549278486,,,,
1963-05-31,,,,,,,0.02933601192718549,,,,,,0.03404396373837981,,,,
1963-06-30,,,,,,,-0.08590955072889095,,,,,,-0.03935326999719124,,,,
1963-07-31,,,,,,,-0.00401077479005163,,,,,,0.00605942794776404,,,,
1963-08-31,,,,,,,0.02382412462237049,,,,,,0.029885844235811976,,,,
1963-09-30,,,,,,,0.01630132526688466,,,,,,-0.008804279459945052,,,,
1963-10-31,,,,,,,0.09292049978144146,,,,,,0.06371927296662117,,,,
1963-11-30,,,,,,,-0.017461118590089142,,,,,,0.00026655512502565815,,,,
1963-12-31,,,,,,,0.04482193809102464,,,,,,0.03733685108423601,,,,
1964-01-31,,,,,,,0.06903342645152755,,,,,,-0.002545260038746444,,,,
1964-02-29,,,,,,,0.050057604427803604,,,,,,-0.009767527991965785,,,,
1964-03-31,,,,,,,0.04437714329239517,,,,,,0.035913310733099335,,,,
1964-04-30,,,,,,,-0.04038841690565309,,,,,,-0.046783320776624227,,,,
1964-05-31,,,,,,,0.05243880809017232,,,,,,-0.011134150647718055,,,,
1964-06-30,,,,,,,-0.006249609487713803,,,,,,0.0061896619994666335,,,,
1964-07-31,,,,,,,-0.03144630143084648,,,,,,0.005564802513092604,,,,
1964-08-31,,,,,,,-0.04627715698633805,,,,,,0.0020446821883261523,,,,
1964-09-30,,,,,,,-0.009080851525221534,,,,,,0.04852976653052821,,,,
1964-10-31,,,,,,,-0.037801137733552315,,,,,,0.005864721418922136,,,,
1964-11-30,,,,,,,-0.017564447652344328,,,,,,0.006011140256408198,,,,
1964-12-31,,,,,,,-0.007272418223065236,,,,,,0.0003961131700750409,,,,
1965-01-31,,,,,,,0.09523705306739338,,,,,,0.08489952614839624,,,,
1965-02-28,,,,,,,0.016507987630322907,,,,,,0.014537574939760045,,,,
1965-03-31,,,,,,,-0.0032919708734584496,,,,,,-0.0090133074620109,,,,
1965-04-30,,,,,,,0.06769437458321859,,,,,,0.008139032867526319,,,,
1965-05-31,,,,,,,-0.014127227161444544,,,,,,-0.019656426063898613,,,,
1965-06-30,,,,,,,-0.041840519960532285,,,,,,-0.06499370460996728,,,,
1965-07-31,,,,,,,0.045851549732917496,,,,,,0.005442154493686402,,,,
1965-08-31,,,,,,,0.042081227809359634,,,,,,0.038522266330187516,,,,
1965-09-30,,,,,,,0.027053984252566776,,,,,,0.07150660253089858,,,,
1965-10-31,,,,,,,0.04000041693863099,,,,,,-0.006197036602250405,,,,
1965-11-30,,,,,,,-0.014732103344160974,,,,,,-0.017981268318064014,,,,
1965-12-31,,,,,,,-0.049523927144552116,,,,,,0.041501163158137566,,,,
1966-01-31,,,,,,,-0.006011836153365424,,,,,,-0.017587907551239956,,,,
1966-02-28,,,,,,,0.03861595356100911,,,,,,-0.040351414374559025,,,,
1966-03-31,,,,,,,0.001942543692631915,,,,,,-0.01233266378565473,,,,
1966-04-30,,,,,,,0.08042626000137565,,,,,,0.011831209196538073,,,,
1966-05-31,,,,,,,-0.023699594230899068,,,,,,-0.08658922789901352,,,,
1966-06-30,,,,,,,-0.033769544466484835,,,,,,0.006401201512588106,,,,
1966-07-31,,,,,,,-0.027817185664000377,,,,,,-0.056510250201432355,,,,
1966-08-31,,,,,,,-0.059126231126984785,,,,,,-0.0734647729568279,,,,
1966-09-30,,,,,,,-0.009360750454473044,,,,,,-0.01670778889144109,,,,
1966-10-31,,,,,,,0.04566924983989784,,,,,,0.07178268304372049,,,,
1966-11-30,,,,,,,0.13289208353434834,,,,,,-0.01866596436623974,,,,
1966-12-31,,,,,,,-0.011968010357738978,,,,,,-0.043610670313901756,,,,
1967-01-31,,,,,,,0.07537005662627738,,,,,,0.14230183347500047,,,,
1967-02-28,,,,,,,0.07664281641233983,,,,,,-0.026614355367075293,,,,
1967-03-31,,,,,,,0.048837464661433794,,,,,,0.00042429718629155566,,,,
1967-04-30,,,,,,,0.10088568160469613,,,,,,0.08220283376034365,,,,
1967-05-31,,,,,,,-0.060718332511104145,,,,,,-0.09063621586118842,,,,
1967-06-30,,,,,,,0.06702407687490308,,,,,,0.005730710039282938,,,,
1967-07-31,,,,,,,0.020602907578011864,,,,,,0.13416802694647145,,,,
1967-08-31,,,,,,,-0.015542837943248733,,,,,,0.06082083582157183,,,,
1967-09-30,,,,,,,0.09704887489870218,,,,,,0.030856761876207117,,,,
1967-10-31,,,,,,,0.08253541814151921,,,,,,-0.07147246617850761,,,,
1967-11-30,,,,,,,0.03312156610492045,,,,,,-0.021810862147634003,,,,
1967-12-31,,,,,,,0.02451059854903037,,,,,,-0.01662549787701645,,,,
1968-01-31,,,,,,,-0.05183376603759038,,,,,,-0.056657546242562085,,,,
1968-02-29,,,,,,,-0.022258732441302387,,,,,,-0.03291319540923593,,,,
1968-03-31,,,,,,,0.05603523287154655,,,,,,-0.018503193165827436,,,,
1968-04-30,,,,,,,0.10612167837232667,,,,,,0.07649838766204742,,,,
1968-05-31,,,,,,,0.055847294280179094,,,,,,-0.035939826103827344,,,,
1968-06-30,,,,,,,-0.009103671904918786,,,,,,-0.021055652709284722,,,,
1968-07-31,,,,,,,-0.04240332158004578,,,,,,-0.009096197686958074,,,,
1968-08-31,,,,,,,-0.009163810885203238,,,,,,4.8994232339005794e-05,,,,
1968-09-30,,,,,,,0.0,,,,,,0.010257709993814479,,,,
1968-10-31,,,,,,,-0.08358213689607441,,,,,,0.05363881711482299,,,,
1968-11-30,,,,,,,0.08713398415756046,,,,,,0.04502556915056499,,,,
