month,winner,all_weather
2008-01-31,1.0456780588098997,0.9880333526659932
2008-02-29,1.0746380034181304,0.9890455407297943
2008-03-31,1.0250590027533837,0.983707684561726
2008-04-30,1.0371803350805728,1.0070467469827327
2008-05-31,1.0444143350309167,1.0250925953552716
2008-06-30,1.0270717687694597,1.0148835817509765
2008-07-31,1.0209928162877968,1.0043875718205106
2008-08-31,0.9779046549984522,0.9991983243552262
2008-09-30,0.9145534006620513,0.9662347351258036
2008-10-31,0.8508914271861727,0.8754853000439261
2008-11-30,0.8560245526624078,0.8537753001527575
2008-12-31,0.8917837570793555,0.8618907459349345
2009-01-31,0.911139339618059,0.8471262492387289
2009-02-28,0.9023541239148086,0.8223362636413606
2009-03-31,0.9060769603402165,0.8448890471747763
2009-04-30,0.9195862528580814,0.8783784701468071
2009-05-31,0.9332638392457849,0.9172150207439485
2009-06-30,0.9331187505880191,0.9203630994896741
2009-07-31,0.9385084644768031,0.9465519001204933
2009-08-31,0.9419407797802867,0.9564709689524902
2009-09-30,0.9497618192512258,0.9760575952138945
2009-10-31,0.9462923810777157,0.9718673763528531
2009-11-30,0.9536885022011132,0.9940467930811699
2009-12-31,0.9666364941750573,1.0054453255546378
2010-01-31,0.9695655258097735,0.9905316881280126
2010-02-28,0.9779890192894166,1.0071980059657257
2010-03-31,0.9870791274471744,1.0283526383840442
2010-04-30,1.0005839688188807,1.0485732691498753
2010-05-31,1.0178929034403426,1.0208779954445029
2010-06-30,1.0179011466620465,1.0093262568731343
2010-07-31,1.0016435199458544,1.0280061014143935
2010-08-31,1.015661581505911,1.0185861148153905
2010-09-30,1.0120694698103239,1.0561001531852992
2010-10-31,1.011422747346022,1.06852270211931
2010-11-30,1.037886307440887,1.079503921197183
2010-12-31,1.0461659645341743,1.119225059280481
2011-01-31,1.0314386592703857,1.1165935661602278
2011-02-28,1.0479094986679596,1.1419617396844814
2011-03-31,1.0512100719255568,1.1523493275012513
2011-04-30,1.0613205773601209,1.1769146508513144
2011-05-31,1.0605282783109298,1.1680395037120845
2011-06-30,1.0503251285644526,1.1524142107861814
2011-07-31,1.0562718196885184,1.1542267712384582
2011-08-31,1.0650850254236335,1.1443901540441026
2011-09-30,1.0682920084998555,1.1106706470013956
2011-10-31,1.0818696043511298,1.1658343758442289
2011-11-30,1.0862719427640686,1.1671676422270543
2011-12-31,1.0785810367865485,1.157110258803547
2012-01-31,1.0943185334823506,1.184455283170537
2012-02-29,1.1019379615093727,1.2072269652016592
2012-03-31,1.1032886544129346,1.2150844991569074
2012-04-30,1.0989493233678949,1.2108525226885585
2012-05-31,1.104696634597561,1.1750649165746827
2012-06-30,1.1076223766207993,1.1935427481268492
2012-07-31,1.111626389400229,1.1985858376487633
2012-08-31,1.1178093409020837,1.218817945642841
2012-09-30,1.121884441540423,1.2312849079292723
2012-10-31,1.1217528097907792,1.2230866503354885
2012-11-30,1.1203883506616716,1.2249826508623904
2012-12-31,1.1227687504442738,1.2350070983831272
2013-01-31,1.1332346167858702,1.2651961826861695
2013-02-28,1.1375871524010073,1.2569605186019912
2013-03-31,1.1461728728337883,1.2741465766077469
2013-04-30,1.1382595958218986,1.269396689398764
2013-05-31,1.1533738714826662,1.2885165762213986
2013-06-30,1.1445117710967843,1.2794900234860758
2013-07-31,1.146804313141552,1.312190728433507
2013-08-31,1.1512873596326219,1.3126969741576455
2013-09-30,1.1431085782411172,1.3198043427668376
2013-10-31,1.1487985299586412,1.333186295566906
2013-11-30,1.1478362606964987,1.3367076385505146
2013-12-31,1.1483599808439984,1.3527168235477527
2014-01-31,1.1606195122673626,1.3502019139650174
2014-02-28,1.1681554226912376,1.383374601213843
2014-03-31,1.173443816707924,1.3874516721799786
2014-04-30,1.173836784661178,1.3892088199285881
2014-05-31,1.1792954873443569,1.3953566569523392
2014-06-30,1.1882515687440225,1.4197885025045227
2014-07-31,1.1927688594989831,1.4023216220370387
2014-08-31,1.2064503051668092,1.4237365083120084
2014-09-30,1.2100357969628894,1.4000982511886224
2014-10-31,1.2164547873981955,1.4063712260561654
2014-11-30,1.2263805055435053,1.4078331144284228
2014-12-31,1.2403288340736813,1.4047361649625425
2015-01-31,1.2627614617806024,1.3993865677219763
2015-02-28,1.2738964916772078,1.4264991068677115
2015-03-31,1.279724996127064,1.4152575579545466
2015-04-30,1.2676239184149247,1.4240341886421195
2015-05-31,1.2732565963261733,1.424442102014357
2015-06-30,1.2634945978905918,1.4181073419803127
2015-07-31,1.2713975510535753,1.4079070765013508
2015-08-31,1.2588925566433589,1.3850386741142902
2015-09-30,1.2525385599353598,1.3646706537303994
2015-10-31,1.2743127498273608,1.4002273046205826
2015-11-30,1.2768612690001824,1.3894904660793048
2015-12-31,1.2712178448640834,1.3720717418473989
2016-01-31,1.2700853385961064,1.3484975508159334
2016-02-29,1.276673455719825,1.3581581754441592
2016-03-31,1.2849224961560917,1.39378010377048
2016-04-30,1.2949331423849277,1.4163554690019058
2016-05-31,1.3009352107093406,1.4217672077020032
2016-06-30,1.3145657118453797,1.4345156832142258
2016-07-31,1.3275994838587095,1.4483669863067536
2016-08-31,1.3291100060730412,1.4539555004696532
2016-09-30,1.3270928403415339,1.4602416085601884
2016-10-31,1.327230051527131,1.4465773537149926
2016-11-30,1.3318322124001671,1.4699178064326577
2016-12-31,1.3364091692610647,1.48427024022108
2017-01-31,1.345364888715447,1.499176390622842
2017-02-28,1.359958537023589,1.5189636574911805
2017-03-31,1.3602782147587422,1.515703733504748
2017-04-30,1.3607563774016826,1.52040095094299
2017-05-31,1.3606413664146484,1.5229743709416912
2017-06-30,1.363765282438711,1.530422762125181
2017-07-31,1.3621413695273927,1.5443930359390086
2017-08-31,1.3691780350610616,1.549567940799585
2017-09-30,1.3716050736194345,1.5671791497065528
2017-10-31,1.3772726937150386,1.581806206549493
2017-11-30,1.3820247870547857,1.6022090458325786
2017-12-31,1.388470469685433,1.6186696460293435
2018-01-31,1.3897479815218134,1.6510363486601565
2018-02-28,1.3855385079582705,1.6235291920055461
2018-03-31,1.3901887431233477,1.628047185812138
2018-04-30,1.3934536401644892,1.633420787024916
2018-05-31,1.4041028850419883,1.6508282377973988
2018-06-30,1.4091506767329305,1.6539882785301068
2018-07-31,1.4090108373123618,1.6618846242030867
2018-08-31,1.4131956858875898,1.677568034711139
2018-09-30,1.4096214395686537,1.678677371435503
2018-10-31,1.402517815460718,1.6293421460693576
2018-11-30,1.4042443149176658,1.6285885272623746
2018-12-31,1.4081595119505115,1.5900015971730672
2019-01-31,1.4274523806141548,1.648169556063263
2019-02-28,1.4314679731072661,1.670235776646602
2019-03-31,1.4434206872399613,1.681576000720849
2019-04-30,1.4462251872632463,1.700953950944862
2019-05-31,1.451209701710023,1.668000174440353
2019-06-30,1.4619249920384199,1.7160417020779273
2019-07-31,1.479296479828661,1.725249335870669
2019-08-31,1.500157437544247,1.7245575410768417
2019-09-30,1.5030013930532915,1.7355509908364617
2019-10-31,1.5033865949922491,1.7477159012939816
2019-11-30,1.5072490850141145,1.7660082503501366
2019-12-31,1.5136556569033723,1.7945948677047083
2020-01-31,1.524797303087457,1.7842077837417432
2020-02-29,1.5016559151381297,1.7209190324845778
2020-03-31,1.443531410845554,1.57380344379113
2020-04-30,1.478549243151922,1.6240423898665874
2020-05-31,1.4938308011278705,1.6700953980296354
2020-06-30,1.4941199168234696,1.6907325334595815
2020-07-31,1.5069350160898303,1.7218858898614655
2020-08-31,1.520934049281202,1.776365800829136
2020-09-30,1.5168506551094187,1.7526093305188342
2020-10-31,1.531142449473058,1.7703921903666044
2020-11-30,1.5188697559326754,1.8501699606244302
2020-12-31,1.5303195486662124,1.8984909421820746
2021-01-31,1.5371400776559727,1.9189605080471528
2021-02-28,1.5515830480341128,1.9973670080994146
2021-03-31,1.5728485980882707,2.0214800173369825
2021-04-30,1.5703308250969092,2.0642973146952985
2021-05-31,1.5759055856334934,2.081104608927977
2021-06-30,1.586866252212609,2.098029436441284
2021-07-31,1.586844862292341,2.1021182368123177
2021-08-31,1.5924310429182067,2.1215996619458637
2021-09-30,1.598326043233941,2.1197739745690427
2021-10-31,1.6145067080993818,2.180803751770137
2021-11-30,1.6210151024966433,2.147725693422316
2021-12-31,1.633806867414618,2.1942537991548647
2022-01-31,1.6315435321875575,2.180735984124243
2022-02-28,1.643452200389397,2.1937814418479458
2022-03-31,1.6667981694760505,2.2392230666898385
