type,period,winner_ret,allweather_ret,diff
both_down_month,2008-02-29,0.027694895540975963,0.0010244472629087013,0.026670448278067263
both_down_month,2008-06-30,-0.0166050634118724,-0.009959113596715577,-0.006645949815156824
both_down_month,2008-09-30,-0.06478264932331394,-0.032990036538235346,-0.0317926127850786
both_down_month,2008-10-31,-0.06960990296443402,-0.09392069212877346,0.024310789164339444
both_down_month,2009-01-31,0.021704345235098493,-0.01713035760720443,0.03883470284230292
both_down_month,2009-02-28,-0.009642011184516564,-0.029263625840476315,0.01962161465595975
both_down_month,2009-10-31,-0.003652956039278765,-0.004293003693212537,0.0006400476539337721
both_down_month,2010-05-31,0.01729883264259553,-0.026412340005411573,0.0437111726480071
both_down_month,2010-11-30,0.026164687480388863,0.010277010545581122,0.01588767693480774
both_down_month,2011-09-30,0.0030110113274256535,-0.029465044699613557,0.03247605602703921
both_down_month,2011-11-30,0.0040691950261224985,0.0011436156030824737,0.002925579423040025
both_down_month,2012-05-31,0.005229823712027652,-0.029555710083019437,0.03478553379504709
both_down_month,2013-02-28,0.003840807146786491,-0.006509396880010315,0.010350204026796806
both_down_month,2013-05-31,0.013278408296531242,0.015062184250449182,-0.001783775953917939
both_down_month,2013-06-30,-0.007683631999127718,-0.007005383478878811,-0.0006782485202489067
both_down_month,2013-08-31,0.00390916430963625,0.0003858019365392904,0.00352336237309696
both_down_month,2013-11-30,-0.0008376310006047603,0.0026412985156819627,-0.003478929516286723
both_down_month,2014-07-31,0.0038016282694541097,-0.012302452398136987,0.016104080667591097
both_down_month,2014-09-30,0.0029719349240699636,-0.016602971817735897,0.019574906741805863
both_down_month,2014-12-31,0.011373573264681339,-0.0021997987077734746,0.013573371972454814
both_down_month,2015-06-30,-0.007666952964350286,-0.0044471867442601575,-0.003219766220090128
both_down_month,2015-08-31,-0.009835628832109878,-0.016242835034176107,0.006407206202066229
both_down_month,2015-11-30,0.0019999165614303354,-0.0076679254188569326,0.009667841980287268
both_down_month,2015-12-31,-0.004419762955546364,-0.012536051637011922,0.008116288681465557
both_down_month,2016-05-31,0.004635041090506585,0.003820890178022157,0.0008141509124844283
both_down_month,2016-10-31,0.00010339230340643182,-0.009357530127270353,0.009460922430676786
both_down_month,2016-11-30,0.003467492969844192,0.016134949615880436,-0.012667456646036244
both_down_month,2018-02-28,-0.003028947420332674,-0.016660539713091643,0.01363159229275897
both_down_month,2018-08-31,0.0029700613113881843,0.0094371235401331,-0.006467062228744916
both_down_month,2018-10-31,-0.005039384269090965,-0.02938934318507969,0.024349958915988724
both_down_month,2020-03-31,-0.038706939257272616,-0.08548664168182843,0.046779702424555814
both_down_month,2020-09-30,-0.002684793711938376,-0.013373636386837291,0.010688842674898915
both_down_month,2021-01-31,0.004456931230934697,0.010782019239739373,-0.006325088008804676
both_down_month,2021-09-30,0.0037018873388272155,-0.0008605239761144742,0.00456241131494169
both_down_month,2021-11-30,0.004031196875560512,-0.015167828980930349,0.01919902585649086
both_down_month,2022-01-31,-0.0013853138165846428,-0.006160552182171721,0.004775238365587078
both_down_month,2022-02-28,0.007299019589058905,0.005982135306003841,0.0013168842830550646
both_down_month,2022-04-30,0.008852788124173328,-0.025060956762078153,0.033913744886251485
both_down_month,2022-06-30,0.0008190548971019366,-0.032786080088919485,0.03360513498602142
both_down_month,2022-08-31,0.003133341047667316,-0.013780363858077717,0.016913704905745033
both_down_month,2022-09-30,0.006485477544204303,-0.04035441130339718,0.046839888847601485
both_down_month,2022-12-31,-0.008653827075801588,-0.016580132132497146,0.007926305056695558
both_down_month,2023-02-28,0.0011155283457800558,-0.01953071720777941,0.020646245553559466
both_down_month,2023-05-31,0.007167138412187367,-0.013036254596193786,0.020203393008381153
both_down_month,2023-08-31,0.005755315010217812,-0.011510778010244995,0.017266093020462808
both_down_month,2023-09-30,-0.0031789525019929894,-0.024218074718313363,0.02103912221632037
both_down_month,2023-10-31,0.004692721746040612,-0.013308936676154117,0.018001658422194727
both_down_month,2024-01-31,0.011177655909502295,-0.0010778820139679423,0.012255537923470236
both_down_month,2024-04-30,0.00742040935555833,-0.017078943017126137,0.02449935237268447
both_down_month,2024-10-31,0.019432659375891503,-0.0027792385948740644,0.022211897970765566
both_down_month,2024-12-31,0.0017064862176216114,-0.01848285128299018,0.020189337500611793
both_down_month,2025-03-31,-0.0073052363805046205,-0.007120929029816993,-0.00018430735068762725
both_down_month,2026-03-31,-0.017156737506030622,-0.009308790979479849,-0.007847946526550773
crisis_window,GFC 2008-09,-0.11255305043712271,-0.15880177047256172,0.046248720035439006
crisis_window,COVID 2020-02,-0.04632774022149677,-0.12303134701146856,0.07670360678997179
crisis_window,Stocks+Bonds rout 2022,0.045073064619001846,-0.023911633355884643,0.06898469797488649
crisis_window,Q4 2018,-0.003563677689771172,-0.05219844186715816,0.04863476417738699
crisis_window,Taper tantrum 2013,0.0044622298433816265,0.030255857730696833,-0.025793627887315207
crisis_window,Bond rout 2021,0.027790960037807233,0.06478254513742754,-0.036991585099620305
crisis_window,SVB / bank stress 2023,0.01630820547376355,-0.016967639932616407,0.033275845406379956
