,mean_excess,win_rate,worst,best
gold,-3.0612906796311337,41.52046783625731,-35.40419999836399,24.982443328827852
duration,-4.884157957868987,33.62573099415205,-26.94539058776816,13.758294862405684
smallval,0.590278704573714,42.69005847953216,-14.30754980255049,21.081185810532908
microcap,-0.018836707941063676,36.84210526315789,-15.055627020080632,20.200759096697894
intl,-4.874894184568254,25.146198830409354,-19.087148506264718,8.80072478315521
