,mean_excess,win_rate,worst,best
gold,-3.52722179557327,43.71584699453552,-42.39712886825474,33.829259126630475
duration,-5.92785679607829,29.23497267759563,-30.355179507048646,27.90220143567106
smallval,0.3441080003922221,43.71584699453552,-19.06630817974493,26.126869185884626
microcap,-0.2969140352816695,43.169398907103826,-23.621656503960644,23.781753152060283
intl,-5.1815181760165885,24.59016393442623,-26.22732991572283,12.187706449015456
