,gold,duration,smallval,microcap,intl
gold,1.0,0.6464020736499827,0.40398938488252956,0.4247500673951915,0.7173766723434547
duration,0.6464020736499827,1.0,0.37608095367381045,0.4485573464471113,0.42359516262798164
smallval,0.40398938488252956,0.37608095367381045,1.0,0.9569292226483918,0.6178517834232587
microcap,0.4247500673951915,0.4485573464471113,0.9569292226483918,1.0,0.6071248697912968
intl,0.7173766723434547,0.42359516262798164,0.6178517834232587,0.6071248697912968,1.0
