,gold,duration,smallval,microcap,intl
gold,1.0,0.6505592482306296,0.4871959630490282,0.48294060782214543,0.7999299214408766
duration,0.6505592482306296,1.0,0.4948194033618829,0.5563079358940852,0.5516915810615255
smallval,0.4871959630490282,0.4948194033618829,1.0,0.9726029346201577,0.7389663754885218
microcap,0.48294060782214543,0.5563079358940852,0.9726029346201577,1.0,0.7084577036776576
intl,0.7999299214408766,0.5516915810615255,0.7389663754885218,0.7084577036776576,1.0
