episode,n,market,gold,duration,smallval,microcap
dot-com run-up,62,226.27577146125276,-23.372986787421578,57.9990743465963,135.06426316330868,205.86272659774556
dot-com unwind,31,-37.13937230728253,10.20140735699111,41.66986364379688,5.174201220300212,-26.29739156207549
dot-com round trip,93,105.09899794979982,-15.55595302411107,123.83707318528434,147.2269611363944,125.42880774189595
GFC,16,-50.84329640436734,18.44749553221112,20.036751819802532,-57.339207793768935,-55.671787480371584
COVID,2,-20.77400456858828,-0.7988409999999946,13.425708077816378,-34.51986,-30.994075
2022,9,-24.81914018335154,-9.270188404149826,-29.917073473031408,-14.957539913098273,-20.39274593482744
