metric,value
train_score_mean,41.30751857958035
train_score_std,20.82853983569563
winner_train_score,77.04342681339486
winner_train_score_z,1.7157183612348503
winner_train_sharpe,1.0937954470470097
winner_test_sharpe,1.11138543659459
winner_sharpe_degradation,0.017589989547580398
winner_train_both_down_ann,-0.12047793627821396
winner_test_both_down_ann,-0.14733069293748466
winner_both_down_degradation,-0.0268527566592707
top10_train_in_top20_test,0.4
spearman_train_test_score,0.4179333891758824
winner_test_sharpe_vs_aw,0.33736744178227074
winner_test_both_down_ann_vs_aw,0.14533221463533927
dsr_prob,0.15992885050509464
deflated_sr_ann,-0.3500829773566489
sr0_ann,1.461468413951239
n_trials,16902.0
effective_n_trials,1.1742751439571082
n_trials_nominal,16902.0
winner_max_weight,0.2
winner_cap,0.2
winner_cap_respected_by_solver,1.0
oos_sharpe,1.11138543659459
oos_sharpe_ci95_lo,0.4209349977271785
oos_sharpe_ci95_hi,1.9653756011707142
oos_both_down_ann,-0.14733069293748466
oos_both_down_ann_ci95_lo,-0.1802869757628266
oos_both_down_ann_ci95_hi,-0.10698684530627284
