ceiling,n,cagr,maxdd,underwater_yrs,worst10,refits,infeasible_refits,honoured
0.4,241,5.328362344818016,-62.6551053010457,9.416666666666666,-0.967910902421365,21,0,False
0.35,241,4.945416827322036,-62.65813395919564,12.5,-1.6498145196579994,21,0,False
0.3,241,4.765345487693495,-63.27478974087417,12.5,-1.3656542235046754,21,0,False
0.25,241,4.141746899382781,-65.37254611846993,12.916666666666666,-2.2617704182901655,21,0,False
0.2,241,3.65441864075986,-64.20833532707061,12.5,-2.1830543158347315,21,0,False
