ceiling,cagr,maxdd,underwater_yrs,worst10,turnover_ann,source,allocation,US Total Market,US Large Cap,US Small Cap,Intl Developed,PM Equity,Gold
0.4,10.745059416638437,-40.0418059010237,2.9166666666666665,3.072288355662778,0.3515742940793824,dirichlet+refine,"US Large Cap 52%, PM Equity 19%, US Total Market 15%, Gold 14%",0.15442113721386655,0.5164881842289137,0.0,0.0,0.19275451911403044,0.13633615944318925
0.35,10.379012473711601,-35.046831939601496,2.8333333333333335,3.899675860327423,0.35187333679647703,dirichlet+refine,"US Total Market 54%, Gold 24%, PM Equity 15%, US Large Cap 7%",0.5406929562305616,0.06883618061842753,0.0,0.0,0.1503914399426061,0.2400794232084049
0.3,9.992937232826748,-30.038386026262177,3.0833333333333335,3.913940873605948,0.31883223311328823,dirichlet+refine,"US Large Cap 48%, Gold 36%, US Total Market 10%, PM Equity 6%",0.10432446351986364,0.4773460212201374,0.0,0.0,0.06261984449250005,0.3557096707674989
0.25,8.930416325914404,-25.02350623604824,4.416666666666667,4.251209039949422,0.32100140031435187,grid+refine,"Gold 50%, US Total Market 25%, US Small Cap 24%, US Large Cap 1%",0.24902844298492696,0.005266603356371865,0.24443052312321853,0.0,0.0,0.5012744305354826
