fold,train,test,combo,scheme,train_score,test_sharpe,test_stag_sharpe,test_both_down_ann,test_maxdd,weights
1,1986-06-30..1996-04-30,1996-06-30..2000-04-30,"US Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVol,68.86206896551724,0.34405470548366307,,-0.24826468030738752,-0.12509116838215395,"{'US Equity': 0.20000000000000007, 'US Treasuries': 0.20000000000081547, 'US Corporate Bonds': 0.20000000000081547, 'US Municipal Bonds': 0.20000000000081547, 'Gold/Precious Metals': 0.1999999999975537}"
2,1986-06-30..2000-04-30,2000-06-30..2004-04-30,"US Equity,World Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",ERC,74.31034482758619,1.092266207921848,,-0.2584376937404235,-0.07552682195240579,"{'US Equity': 0.2, 'US Treasuries': 0.2, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'Gold/Precious Metals': 0.04892728405061249, 'World Equity': 0.15107271594938745}"
3,1986-06-30..2004-04-30,2004-06-30..2008-04-30,"US Equity,World Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",MinVar,77.3103448275862,2.1168546537227693,,-0.12293618798887815,-0.027173324303928492,"{'US Equity': 0.2, 'US Treasuries': 0.2, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'Gold/Precious Metals': 0.02911422439957043, 'World Equity': 0.17088577560042972}"
4,1986-06-30..2008-04-30,2008-06-30..2012-04-30,"US Equity,World Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",MinVar,68.55172413793103,0.45666283029909643,,-0.4292841366668002,-0.2152937380344484,"{'US Equity': 0.2, 'US Treasuries': 0.2, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'Gold/Precious Metals': 0.0, 'World Equity': 0.19999999999999996}"
5,1986-06-30..2012-04-30,2012-06-30..2016-04-30,"US Equity,World Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",MinVar,70.13793103448275,0.8481318589030737,,-0.15796586862512013,-0.05675344497731183,"{'US Equity': 0.2, 'US Treasuries': 0.2, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'Gold/Precious Metals': 0.096420392583143, 'World Equity': 0.10357960741685696}"
6,1986-06-30..2016-04-30,2016-06-30..2020-04-30,"US Equity,World Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds",InvVol,71.31034482758622,0.7601677544557958,,-0.2948724954177635,-0.0910501853033967,"{'US Equity': 0.19999999999999996, 'US Treasuries': 0.20000000000073104, 'US Corporate Bonds': 0.20000000000073104, 'US Municipal Bonds': 0.20000000000073104, 'World Equity': 0.19999999999780682}"
7,1986-06-30..2020-04-30,2020-06-30..2024-04-30,"US Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVol,68.44827586206897,0.23037686652514885,-0.5281944601372807,-0.3313719687359497,-0.20177920277518513,"{'US Equity': 0.19999999999999996, 'US Treasuries': 0.200000000000394, 'US Corporate Bonds': 0.200000000000394, 'US Municipal Bonds': 0.200000000000394, 'Gold/Precious Metals': 0.19999999999881787}"
8,1986-06-30..2024-04-30,2024-06-30..2026-07-31,"US Equity,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold/Precious Metals",InvVol,68.89655172413794,1.5767776827256057,,-0.2413544220882025,-0.07837823338748051,"{'US Equity': 0.19999999999999996, 'US Treasuries': 0.20000000000039658, 'US Corporate Bonds': 0.20000000000039658, 'US Municipal Bonds': 0.20000000000039658, 'Gold/Precious Metals': 0.1999999999988103}"
