fold,train,test,combo,scheme,train_score,test_sharpe,test_stag_sharpe,test_both_down_ann,test_maxdd,weights
1,2008-01-31..2015-12-31,2016-01-31..2018-12-31,"US Equity,US REIT,Preferred Stock,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold,Silver",InvVar,86.83427323994906,1.0220005140695156,,-0.10872548452741701,-0.03588130503881892,"{'US Equity': 0.08873566192633764, 'US Treasuries': 0.2, 'Gold': 0.05109095887150299, 'Silver': 0.03433842309091942, 'US Corporate Bonds': 0.2, 'US Municipal Bonds': 0.2, 'US REIT': 0.06449619598235343, 'Preferred Stock': 0.1613387601288866}"
2,2008-01-31..2018-12-31,2019-01-31..2021-12-31,"US REIT,Preferred Stock,US Treasuries,US Municipal Bonds,Gold,Silver,Currency",MinVar,79.6650900491177,1.438359559225656,,-0.16291338498854602,-0.059912116929008996,"{'US Treasuries': 0.2, 'Gold': 0.08744217234172878, 'Silver': 0.05627891382866634, 'Currency': 0.20000000000046925, 'US Municipal Bonds': 0.2, 'US REIT': 0.05627891382866634, 'Preferred Stock': 0.20000000000046925}"
3,2008-01-31..2021-12-31,2022-01-31..2024-12-31,"US REIT,Preferred Stock,US Treasuries,US Corporate Bonds,US Municipal Bonds,Gold,Silver",InvVol,77.29106785519375,0.2704728595133718,-0.3976947697682986,-0.22474694391491415,-0.10982823647695805,"{'US Treasuries': 0.2, 'Gold': 0.12473675478995969, 'Silver': 0.05910970986648617, 'US Corporate Bonds': 0.18278390678255363, 'US Municipal Bonds': 0.2, 'US REIT': 0.09572912258457825, 'Preferred Stock': 0.13764050597642222}"
4,2008-01-31..2024-12-31,2025-01-31..2026-07-31,"US Equity,Preferred Stock,US Treasuries,Gold,Silver,Currency",MinVar,84.76096052392215,1.6287867487874355,,-0.24018162871163953,-0.08160089405719329,"{'US Equity': 0.12746029387804084, 'US Treasuries': 0.19999999999999996, 'Gold': 0.20000000000097998, 'Silver': 0.1184790378870203, 'Currency': 0.19999999999999996, 'Preferred Stock': 0.1540606682339589}"
