blend,w_ls,dotcom_cum,2022_cum,CAGR,sharpe,maxdd,positive_both
70% AW-classic + 30% long/short TSMOM (managed-futures overlay),0.3,0.0301539648783804,-0.0653890875918941,0.06252389414151382,0.9787343706823135,-0.12398060962336721,False
60% AW-classic + 40% long/short TSMOM (managed-futures overlay),0.4,0.047474110039570805,-0.05265583794813722,0.06102148924133921,1.0005734510928221,-0.12330368022038796,False
50% AW-classic + 50% long/short TSMOM (managed-futures overlay),0.5,0.06467730379290426,-0.04001877576190471,0.0593733552491551,0.9871950864826752,-0.12262877771400493,False
40% AW-classic + 60% long/short TSMOM (managed-futures overlay),0.6,0.08174848260936751,-0.027483844138108893,0.057580773441462174,0.9373574441967516,-0.12810596347516356,False
30% AW-classic + 70% long/short TSMOM (managed-futures overlay),0.7,0.09867237738551848,-0.015056983519847189,0.05564492331632942,0.8608239365141391,-0.14620290651333756,False
70% AW-classic + 30% long/short TSMOM,0.3,0.04232848027141589,-0.05392569084607446,0.06383778937336015,0.9927046637550826,-0.1216967710858633,False
60% AW-classic + 40% long/short TSMOM,0.4,0.06405140243969965,-0.03718306637138302,0.06273945871967412,1.011694190876808,-0.12025724284148442,False
50% AW-classic + 50% long/short TSMOM,0.5,0.08583033942113971,-0.020444347939265417,0.06147852302501455,0.9916804107696028,-0.11881908330230684,False
40% AW-classic + 60% long/short TSMOM,0.6,0.10765023692377929,-0.0037166954217988657,0.06005625694792216,0.9351187006794506,-0.11738229246982135,False
30% AW-classic + 70% long/short TSMOM,0.7,0.12949556279694363,0.012992658889249276,0.058473805221944675,0.8550844342277496,-0.13149592354016126,True
70% AW-v2 static + 30% long/short TSMOM (managed-futures overlay),0.3,0.040649781229601833,-0.10765121105596565,0.06780688419837455,0.9154236733466189,-0.19003495939458237,False
60% AW-v2 static + 40% long/short TSMOM (managed-futures overlay),0.4,0.05664663783751678,-0.08917516700321015,0.06566233529477405,0.9547939764322402,-0.14331836541225174,False
50% AW-v2 static + 50% long/short TSMOM (managed-futures overlay),0.5,0.07246637094217734,-0.07068993525478029,0.06333246346637766,0.9670534057275657,-0.139312744135061,False
40% AW-v2 static + 60% long/short TSMOM (managed-futures overlay),0.6,0.08809466408703948,-0.052205604623810964,0.06081992534998193,0.9415521711195224,-0.13933315097417853,False
30% AW-v2 static + 70% long/short TSMOM (managed-futures overlay),0.7,0.10351712753788167,-0.03373241099481672,0.05812713414727022,0.8786895241209275,-0.1543935730187781,False
70% AW-v2 static + 30% long/short TSMOM,0.3,0.05297433424885112,-0.09664516457458683,0.06912937530452723,0.928724676259783,-0.19889506577799887,False
60% AW-v2 static + 40% long/short TSMOM,0.4,0.0733993702065614,-0.07422864519411998,0.06738987682693942,0.9673474676332497,-0.1459025436046001,False
50% AW-v2 static + 50% long/short TSMOM,0.5,0.09380628215740239,-0.05166728388049968,0.06544737773825093,0.9744447647804817,-0.13554178197040234,False
40% AW-v2 static + 60% long/short TSMOM,0.6,0.11417976767339799,-0.02897150643039159,0.06330458230883274,0.9416249421864565,-0.1307707050416258,False
30% AW-v2 static + 70% long/short TSMOM,0.7,0.13450418461838387,-0.006152016047770825,0.06096390765747617,0.8734660612458632,-0.1397681192791539,False
