candidate,cagr,vol,maxdd,sortino,underwater_yrs,worst10
Current allocation,9.083523886168198,13.322843307183973,-40.992655436395175,1.0916315411426993,3.4166666666666665,1.695520221872382
80/20 VTI-GLD,9.649423503544252,13.079760987864205,-38.285363409317796,1.187700319675657,4.25,0.9422502247204312
60/20/20 US-intl-gold,9.016897524060873,13.007799674711249,-39.69570306253465,1.1133084524779533,4.166666666666667,1.5691825320768071
100% US Total,9.145432591323676,15.729476523379498,-50.843296404367344,0.955065882265831,5.5,-2.801421700185669
S&P 500,8.923646561675325,15.37328143047266,-50.78480360257029,0.9561379230627021,6.166666666666667,-3.4491910416270644
Classic 60/40,7.376526250852589,9.633998118797258,-29.035373659050112,1.2148879825916734,3.4166666666666665,1.2577578955632163
70/15/15 eq-gold-dur,9.048205246628926,11.233894290373035,-31.31050415744374,1.2880917233356892,4.083333333333333,2.0703784082006793
60/20/20 eq-gold-dur,8.93068116950342,10.208843686490301,-24.46672514743883,1.4102844175080531,3.25,3.516544400905519
50/25/25 eq-gold-dur,8.772075988340134,9.511263329881674,-22.620726807498283,1.5166719532331498,3.0,4.8269412265228295
60/20/20 eq-gold-agg,8.71024589791405,10.289280313081926,-26.987649525096668,1.3569103852155526,3.25,2.8435854451072773
45/15/20/20 +intl,8.469184250863115,10.199390236055816,-25.572482492115533,1.3343183005129455,3.1666666666666665,4.037673097415118
